BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,01  ONE FAMILY DWELLINGS,1,0,1103,1290,1910,300000,2/20/2015
Bronx,01  ONE FAMILY DWELLINGS,1,1,2500,2452,1910,400000,7/1/2015
Bronx,01  ONE FAMILY DWELLINGS,1,2,1911,4080,1931,510000,1/6/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2000,2400,1993,430000,8/4/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2000,2400,1993,10000,6/2/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2451,2394,1995,389000,1/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3165,2394,1995,505000,8/5/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3165,2394,1995,250000,2/19/2015
Bronx,02  TWO FAMILY DWELLINGS,2,1,1620,3240,1931,490000,9/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1592,1860,1899,100000,8/20/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4124,2340,1998,228000,11/16/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3525,2316,1899,128778,5/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1984,2340,1998,420000,4/23/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1316,2112,1901,449000,6/8/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1301,2300,1901,261000,9/25/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1420,2805,1901,393600,4/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1202,1966,1901,232215,8/18/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1216,2916,2004,435919,5/29/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1278,2955,2004,400000,6/18/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1650,3316,2005,452000,9/9/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1250,2730,2003,692258,3/2/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1250,2730,2003,581540,4/6/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1739,2730,2003,658620,5/11/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1334,2936,2005,455000,4/27/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1269,2936,2005,457314,9/4/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1494,1512,1950,72500,3/19/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1494,1512,1950,72500,3/16/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1914,1386,1950,301600,3/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1732,1945,345360,1/13/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1732,1945,185000,2/18/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1732,1945,386900,8/31/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1732,1945,210000,1/8/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1701,1950,330000,11/4/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1710,1701,1950,386000,6/18/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1918,1024,1945,156750,11/16/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2288,1480,1925,330000,10/20/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1900,1254,1940,385000,12/21/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1900,1254,1940,190000,6/11/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1900,1254,1940,363279,1/28/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,1900,1681,1940,379000,6/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,1,2208,2430,1930,320000,10/20/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2216,2430,1930,385000,3/2/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2367,2430,1930,310000,1/30/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2208,1476,1940,429000,2/6/2015
Bronx,01  ONE FAMILY DWELLINGS,1,0,2500,1736,1935,467500,8/13/2015
